i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
i bought a hp pavilion dv4-1222nr laptop and have had so many problems with the computer .|||O O O O O O O O O O O O O O O O O
the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the "sales" team , which is the retail shop which i bought my netbook from .|||O B-AP I-AP O O O B-AP I-AP O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O
i investigated netbooks and saw the toshiba nb305-n410bl .|||O O O O O O O O O
the other day i had a presentation to do for a seminar at a large conference in town lots of people , little time to prep and have to set up a computer to a projector , etc .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
it is of high quality , has a killer gui , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .|||O O O O B-AP O O O O B-AP O O O O O O O O O O O O O O O O B-AP O O O O B-AP O O O O O O
easy to start up and does not overheat as much as other laptops .|||O O B-AP I-AP O O O O O O O O O O
sad very sad .|||O O O O
i even got my teenage son one , because of the features that it offers , like , ichat , photobooth , garage band and more !|||O O O O O O O O O O O B-AP O O O O O O B-AP O B-AP O B-AP I-AP O O O
needless to say a pc that ca n't support a cell phone is less than useless !|||O O O O O O O O O O O O O O O O O
great laptop that offers many great features !|||O O O O O O B-AP O
they have done absolutely nothing to fix the computer problem .|||O O O O O O O O O O O
one night i turned the freaking thing off after using it , the next day i turn it on , no gui , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .|||O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP O O O B-AP I-AP O O B-AP I-AP I-AP O O O O O O O O O
still pretty pricey , but i 've been putting off money for a while as a little macbook fund , and finally got to use it .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O
i took it back for an asus and same thing blue screen which required me to remove the battery to reset .|||O O O O O O O O O O O O O O O O O O B-AP O O O
in the shop , these macbooks are encased in a soft rubber enclosure , so you will never know about the razor edge until you buy it , get it home , break the seal and use it very clever con .|||O O O O O O O O O O O B-AP I-AP O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O
however , the multi-touch gestures and large tracking area make having an external mouse unnecessary unless you 're gaming .|||O O O B-AP I-AP O O B-AP I-AP O O O B-AP I-AP O O O O B-AP O
plus it is small and reasonably light so i can take it with me to and from work .|||O O O O O O O O O O O O O O O O O O O
i hate this one .|||O O O O O
they were totally unconcerned that the computer was not correctly repaired in the first place .|||O O O O O O O O O O O O O O O O
toshiba does not send any one out unless you have paid extra to have the on site repair done .|||O O O O O O O O O O O O O O O O O O O O
oh , boy !|||O O O O
but while this is one big advantage as you may know from the company s recent commercials there are other things to consider before going with apple .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i love the way the entire suite of software works together .|||O O O O O O B-AP I-AP I-AP O O O
the speed is incredible and i am more than satisfied .|||O B-AP O O O O O O O O O
on the bright side at least i was n't without my laptop for long this time !|||O O O O O O O O O O O O O O O O O
this laptop meets every expectation and windows 7 is great !|||O O O O O O B-AP I-AP O O O
that 's how frustrating it was .|||O O O O O O O
i can barely use any usb devices because they will not stay connected properly .|||O O O O O B-AP I-AP O O O O O O O O
the one down side to it is that when i play a certin game on here , it tends to freeze up sometimes , but thats the only bad thing about this computer .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-no backlit keyboard , but not an issue for me .|||O O B-AP O O O O O O O O
when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed .|||O O O O O O O O O B-AP O O O O O O O O O O B-AP O O
i ca n't even turn it off .|||O O O O O O O O
one suggestion i do have , is to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc .|||O O O O O O O O O O O B-AP I-AP I-AP I-AP I-AP O O O O O O O O O O O O O O
pairing it with an iphone is a pure pleasure , talk about painless syncing , used to take me forever , now it 's a snap .|||O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O
i shopped around before buying .|||O O O O O O
i also got the added bonus of a 30" hd monitor , which really helps to extend my screen and keep my eyes fresh !|||O O O O O O O O B-AP I-AP I-AP O O O O O O O B-AP O O O O O O
would do business again .|||O O O O O
the machine is slow to boot up and occasionally crashes completely .|||O O O O O B-AP I-AP O O O O O
after paying several hundred dollars for this service , it is frustrating that you can not get help after hours .|||O O O O O O O B-AP O O O O O O O O O O O O O
i have had the luxury sarcasm of owning 2 of these laptops .|||O O O O O O O O O O O O O
what a waste .|||O O O O
it was a total dhell experience that i will never repeat .|||O O O O O O O O O O O O
there are a few flaws as well that i noticed .|||O O O O O O O O O O O
completely worth every single penny dime and nickel .|||O O O O O O O O O
i tried to upgrade it to a newer version a couple of months ago and i still have the same problem .|||O O O O O O O O O O O O O O O O O O O O O O
i did have to replace the battery once , but that was only a couple months ago and it 's been working perfect ever since .|||O O O O O O B-AP O O O O O O O O O O O O O O O O O O O
, in the past four years i 've had it i have never once gotten a virus .|||O O O O O O O O O O O O O O O O O O
i love the operating system and the preloaded software .|||O O O B-AP I-AP O O B-AP I-AP O
they were great in handling this problem , and i 'm looking forward in purchasing additonal products from them in the future .|||O O O O O O O O O O O O O O O O O O O O O O O
i 've tried going back to xl but there still problems .|||O O O O O O O O O O O O
the best thing about this laptop is the price along with some of the newer features .|||O O O O O O O O B-AP O O O O O O B-AP O
after numerous attempts of trying including setting the clock in bios setup directly , i gave upi am a techie .|||O O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O
you will not be able to talk to an american warranty service is out of country .|||O O O O O O O O O O B-AP I-AP O O O O O
but it may be potentially hundreds or thousands in the near future .|||O O O O O O O O O O O O O
has met or exceeded my needs for a compact travel device .|||O O O O O O O O O O O O
but now i have realized its a problem with this brand .|||O O O O O O O O O O B-AP O
it can not save the correct date and time i set .|||O O O O O O O O O O O O
i sent it back to toshiba twice they covered it under the warranty .|||O O O O O O O O O O O O B-AP O
and this is n't just my one experine .|||O O O O O O O O O
they sent me a replacement part and without informing me are requiring that i return it within 15 days or contact them and let them know the broken part will be returned later .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
i was looking for a mac which is portable and has all the features that i was looking for .|||O O O O O O O O O O O O O B-AP O O O O O O
i would highly recommend this one to my friends|||O O O O O O O O O
i honestly love my mac , thats why i am a self proclaimed mac addict .|||O O O O O O O O O O O O O O O O
and these are some reasons you should get a macbook pro .|||O O O O O O O O O O O O
also kinda loud when the fan was running .|||O O O O O B-AP O O O
in desparation , i called their customer service number and was told that my warranty had expired 2 days old and that the priviledge of talking to a technician would cost me have your credit card ready .|||O O O O O O B-AP I-AP I-AP O O O O O B-AP O O O O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O
i purchased this laptop while on a business trip to keep up with my email .|||O O O O O O O O O O O O O O O O
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .|||O O O O O O O O O B-AP I-AP O O O B-AP O O O O O O O O O O B-AP O O O
drivers updated ok but the bios update froze the system up and the computer shut down .|||B-AP O O O O B-AP I-AP O O B-AP O O O O O O O
