i charge it at night and skip taking the cord with me because of the good battery life .|||O O O O O O O O O B-AP O O O O O O B-AP I-AP O
the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the "sales" team , which is the retail shop which i bought my netbook from .|||O B-AP I-AP O O O B-AP I-AP O O O O O O O O O O O O O O B-AP I-AP O O O O O O O O O O O O O
it is of high quality , has a killer gui , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .|||O O O O B-AP O O O O B-AP O O O O O O O O O O O O O O O O B-AP O O O O B-AP O O O O O O
easy to start up and does not overheat as much as other laptops .|||O O B-AP I-AP O O O O O O O O O O
i even got my teenage son one , because of the features that it offers , like , ichat , photobooth , garage band and more !|||O O O O O O O O O O O B-AP O O O O O O B-AP O B-AP O B-AP I-AP O O O
great laptop that offers many great features !|||O O O O O O B-AP O
one night i turned the freaking thing off after using it , the next day i turn it on , no gui , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .|||O O O O O O O O O O O O O O O O O O O O O B-AP O B-AP O O O B-AP I-AP O O B-AP I-AP I-AP O O O O O O O O O
i took it back for an asus and same thing blue screen which required me to remove the battery to reset .|||O O O O O O O O O O O O O O O O O O B-AP O O O
in the shop , these macbooks are encased in a soft rubber enclosure , so you will never know about the razor edge until you buy it , get it home , break the seal and use it very clever con .|||O O O O O O O O O O O B-AP I-AP O O O O O O O O O B-AP O O O O O O O O O O O O O O O O O O O
however , the multi-touch gestures and large tracking area make having an external mouse unnecessary unless you 're gaming .|||O O O B-AP I-AP O O B-AP I-AP O O O B-AP I-AP O O O O B-AP O
i love the way the entire suite of software works together .|||O O O O O O B-AP I-AP I-AP O O O
the speed is incredible and i am more than satisfied .|||O B-AP O O O O O O O O O
this laptop meets every expectation and windows 7 is great !|||O O O O O O B-AP I-AP O O O
i can barely use any usb devices because they will not stay connected properly .|||O O O O O B-AP I-AP O O O O O O O O
-no backlit keyboard , but not an issue for me .|||O O B-AP O O O O O O O O
when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed .|||O O O O O O O O O B-AP O O O O O O O O O O B-AP O O
one suggestion i do have , is to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc .|||O O O O O O O O O O O B-AP I-AP I-AP I-AP I-AP O O O O O O O O O O O O O O
pairing it with an iphone is a pure pleasure , talk about painless syncing , used to take me forever , now it 's a snap .|||O O O O O O O O O O O O O B-AP O O O O O O O O O O O O O
i also got the added bonus of a 30" hd monitor , which really helps to extend my screen and keep my eyes fresh !|||O O O O O O O O B-AP I-AP I-AP O O O O O O O B-AP O O O O O O
the machine is slow to boot up and occasionally crashes completely .|||O O O O O B-AP I-AP O O O O O
after paying several hundred dollars for this service , it is frustrating that you can not get help after hours .|||O O O O O O O B-AP O O O O O O O O O O O O O
i did have to replace the battery once , but that was only a couple months ago and it 's been working perfect ever since .|||O O O O O O B-AP O O O O O O O O O O O O O O O O O O O
i love the operating system and the preloaded software .|||O O O B-AP I-AP O O B-AP I-AP O
the best thing about this laptop is the price along with some of the newer features .|||O O O O O O O O B-AP O O O O O O B-AP O
after numerous attempts of trying including setting the clock in bios setup directly , i gave upi am a techie .|||O O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O
you will not be able to talk to an american warranty service is out of country .|||O O O O O O O O O O B-AP I-AP O O O O O
but now i have realized its a problem with this brand .|||O O O O O O O O O O B-AP O
i sent it back to toshiba twice they covered it under the warranty .|||O O O O O O O O O O O O B-AP O
i was looking for a mac which is portable and has all the features that i was looking for .|||O O O O O O O O O O O O O B-AP O O O O O O
also kinda loud when the fan was running .|||O O O O O B-AP O O O
in desparation , i called their customer service number and was told that my warranty had expired 2 days old and that the priviledge of talking to a technician would cost me have your credit card ready .|||O O O O O O B-AP I-AP I-AP O O O O O B-AP O O O O O O O O O O B-AP I-AP I-AP I-AP O O O O O O O O O
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files .|||O O O O O O O O O B-AP I-AP O O O B-AP O O O O O O O O O O B-AP O O O
drivers updated ok but the bios update froze the system up and the computer shut down .|||B-AP O O O O B-AP I-AP O O B-AP O O O O O O O
spent 2 hours on phone with hp technical support .|||O O O O O O B-AP I-AP I-AP O
speaking of the browser , it too has problems .|||O O O B-AP O O O O O O
the keyboard is too slick .|||O B-AP O O O O
nightly my computer defrags itself and runs a virus scan .|||O O O O O O O O B-AP I-AP O
it 's like 9 punds , but if you can look past it , it 's great !|||O O O B-AP I-AP O O O O O O O O O O O O O
it 's just as fast with one program open as it is with sixteen open .|||O O O O O O O B-AP O O O O O O O O
still under warrenty so called toshiba , no help at all .|||O O B-AP O O O O O O O O O
i was happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the toshiba warranty .|||O O O O O O O O O O O O O O O O O O O O O O B-AP I-AP O
amazing quality !|||O B-AP O
the fact that you can spend over $ 100 on just a webcam underscores the value of this machine .|||O O O O O O O O O O O O B-AP O O B-AP O O O O
i mainly use it for email , internet , and managing personal files pics , vids , etc .|||O O O O O O O B-AP O O B-AP I-AP I-AP O O O O O O
a month or so ago , the freaking motherboard just died .|||O O O O O O O O B-AP O O O
the system it comes with does not work properly , so when trying to fix the problems with it it started not working at all .|||O B-AP O O O O O O O O O O O O O O O O O O O O O O O O
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running .|||O O O O O O O B-AP O O O O O O O O O O O O B-AP O O O O O O O
if a website ever freezes which is rare , its really easy to force quit .|||O O O O O O O O O O O O O B-AP I-AP O
it rarely works and when it does it 's incredibly slow .|||O O B-AP O O O O O O O O O
i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program .|||O O O O O O O O O O O O O O B-AP I-AP O O O O O B-AP I-AP O
it 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !|||O O O O O O B-AP O O B-AP I-AP O O B-AP I-AP O O O B-AP O O O O
purchased a toshiba lap top it worked good until just after the warrenty went out .|||O O O O O O O O O O O O B-AP O O O
i wanted to purchase the extended warranty and they refused , because they knew it was trouble .|||O O O O O B-AP I-AP O O O O O O O O O O O
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .|||O O O B-AP O O O O O O O O O O B-AP O O B-AP O
the reality was , it heated up very quickly , and took way too long to do simple things , like opening my documents folder .|||O O O O O O O O O O O O O O O O O O O O O B-AP I-AP I-AP I-AP O
i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive .|||O O O O O O O O O O O O O O O O B-AP I-AP O O O O O O
then , within 5 months , the charger crapped out on me .|||O O O O O O O B-AP O O O O O
and if you have a iphone or ipod touch you can connect and download songs to it at high speed .|||O O O O O O O O O O O O O O O O O O O B-AP O
i love the glass touchpad .|||O O O B-AP I-AP O
i continued to take the computer in again and they replaced the hard drive and mother board yet again .|||O O O O O O O O O O O O B-AP I-AP O B-AP I-AP O O O
i am using the external speaker sound is good .|||O O O O B-AP I-AP I-AP O O O
still testing the battery life as i thought it would be better , but am very happy with the upgrade .|||O O O B-AP I-AP O O O O O O O O O O O O O O O O
then hp sends it back to me with the hardware screwed up , not able to connect .|||O O O O O O O O O B-AP O O O O O O O O
oh yeah , do n't forget the expensive shipping to and from hp .|||O O O O O O O O B-AP O O O O O
everything is so easy to use , mac software is just so much simpler than microsoft software .|||O O O O O B-AP O B-AP I-AP O O O O O O B-AP I-AP O
and if you do a lot of writing , editing is a problem since there is no forward delete key .|||O O O O O O O O O B-AP O O O O O O O O B-AP I-AP O
its ease of use and the top service from apple be it their phone assistance or bellying up to the genius bar can not be beat .|||O O O B-AP O O O B-AP O O O O O B-AP I-AP O O O O O B-AP I-AP O O O O O
it has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .|||O O O O O B-AP I-AP O O O O B-AP I-AP O B-AP I-AP O O O O O O O O O O O O O O B-AP O B-AP I-AP O O O O B-AP I-AP O O O O O O
acer has set me up with free recovery discs , when they are available since i asked .|||O O O O O O O B-AP I-AP O O O O O O O O O
i also purchased office max's "max assurance" with the no lemon clause .|||O O O B-AP I-AP I-AP I-AP O O O O O O
i eventually did the migration from my imac backup disc which uses usb .|||O O O O O O O B-AP I-AP I-AP O O B-AP O
